Event,Fighter 1,KD F_1,Sig. str. landed F_1,Sig. str. thrown F_1,Sig. str. % F_1,Total str. landed F_1,Total str. thrown F_1,Td completed F_1,Td attempted F_1,Td % F_1,Sub. att F_1,Rev. F_1,Ctrl F_1,Head landed F_1,Head thrown F_1,Body landed F_1,Body thrown F_1,Leg landed F_1,Leg thrown F_1,Distance landed F_1,Distance thrown F_1,Clinch landed F_1,Clinch thrown F_1,Ground landed F_1,Ground thrown F_1,Fighter 2,KD F_2,Sig. str. landed F_2,Sig. str. thrown F_2,Sig. str. % F_2,Total str. landed F_2,Total str. thrown F_2,Td completed F_2,Td attempted F_2,Td % F_2,Sub. att F_2,Rev. F_2,Ctrl F_2,Head landed F_2,Head thrown F_2,Body landed F_2,Body thrown F_2,Leg landed F_2,Leg thrown F_2,Distance landed F_2,Distance thrown F_2,Clinch landed F_2,Clinch thrown F_2,Ground landed F_2,Ground thrown F_2
UFC on FOX: Shogun vs Vera,Manvel Gamburyan,0,52,116,0.44,58,125,6,12,0.5,0,0,282.0,37,97,7,10,8,9,47,108,5,8,0,0,Michihiro Omigawa,1,41,94,0.43,71,127,0,2,0.0,0,0,63.0,30,77,4,5,7,12,37,89,4,5,0,0
UFC Fight Night: Iaquinta vs. Cowboy,Cub Swanson,0,129,256,0.5,132,260,0,2,0.0,0,0,97.0,66,167,14,26,49,63,113,239,11,12,5,5,Shane Burgos,0,134,268,0.5,147,282,0,0,,0,0,0.0,82,208,18,25,34,35,128,260,6,8,0,0
UFC on FOX: Dos Anjos vs. Cowboy 2,Randa Markos,0,34,100,0.34,56,125,1,9,0.11,0,0,319.0,21,82,2,7,11,11,31,94,3,6,0,0,Karolina Kowalkiewicz,0,66,169,0.39,104,216,0,0,,0,0,89.0,40,137,12,14,14,18,47,147,9,10,10,12
UFC 192: Cormier vs Gustafsson,Daniel Cormier,0,140,283,0.49,219,364,1,5,0.2,0,0,210.0,111,240,11,22,18,21,86,212,48,64,6,7,Alexander Gustafsson,1,120,254,0.47,130,264,1,7,0.14,0,0,58.0,88,206,23,38,9,10,102,221,15,30,3,3
UFC 26: Ultimate Field Of Dreams,Tyrone Roberts,0,16,60,0.26,105,163,1,1,1.0,0,0,287.0,11,53,3,5,2,2,12,45,4,13,0,2,David Dodd,0,10,31,0.32,27,49,0,2,0.0,0,0,2.0,5,25,5,6,0,0,3,22,5,6,2,3
UFC 68: The Uprising,Randy Couture,1,73,138,0.52,138,205,7,10,0.7,0,0,951.0,57,119,13,16,3,3,40,90,2,2,31,46,Tim Sylvia,0,25,106,0.23,39,123,0,0,,0,0,45.0,22,102,3,4,0,0,15,92,5,9,5,5
UFC 141: Lesnar vs Overeem,Dong Hyun Kim,1,53,124,0.42,61,134,2,4,0.5,0,0,128.0,28,89,5,6,20,29,50,119,2,2,1,3,Sean Pierson,0,32,121,0.26,54,145,0,2,0.0,0,0,129.0,18,101,4,7,10,13,25,112,5,7,2,2
UFC 147: Silva vs Franklin 2,Marcos Vinicius,0,28,58,0.48,46,79,0,0,,0,0,2.0,20,46,6,7,2,5,21,46,6,7,1,5,Wagner Campos,0,17,41,0.41,58,97,2,2,1.0,0,0,392.0,5,25,4,7,8,9,17,33,0,1,0,7
UFC Fight Night: Poirier vs. Pettis,John Dodson,1,43,105,0.4,47,109,2,4,0.5,0,0,27.0,24,83,15,18,4,4,40,101,2,3,1,1,Marlon Moraes,0,45,131,0.34,45,131,1,2,0.5,1,0,65.0,21,92,15,23,9,16,45,131,0,0,0,0
UFC 131: Dos Santos vs Carwin,Nick Ring,0,58,98,0.59,135,195,5,5,1.0,1,0,539.0,31,66,10,12,17,20,30,64,5,6,23,28,James Head,1,30,56,0.53,43,69,0,0,,0,0,23.0,21,47,8,8,1,1,21,45,8,10,1,1
UFC 132: Cruz vs Faber,George Sotiropoulos,0,2,24,0.08,2,24,0,0,,0,0,0.0,0,18,1,3,1,3,2,24,0,0,0,0,Rafael Dos Anjos,1,2,10,0.2,2,10,0,0,,0,0,3.0,1,8,0,0,1,2,2,10,0,0,0,0
UFC 246: McGregor vs. Cowboy,Conor McGregor,1,19,26,0.73,20,27,0,0,,0,0,13.0,19,25,0,1,0,0,3,7,3,3,13,16,Donald Cerrone,0,0,1,0.0,0,1,0,0,,0,0,0.0,0,0,0,1,0,0,0,1,0,0,0,0
UFC 214: Cormier vs. Jones 2,Cristiane Justino,1,74,143,0.51,75,144,0,1,0.0,0,0,40.0,38,99,15,22,21,22,58,115,11,22,5,6,Tonya Evinger,0,32,85,0.37,34,87,1,4,0.25,0,0,48.0,13,54,9,17,10,14,28,78,4,7,0,0
UFC 199: Rockhold vs. Bisping 2,Cole Miller,0,33,127,0.25,39,134,3,3,1.0,1,0,152.0,24,111,5,11,4,5,30,122,1,2,2,3,Alex Caceres,1,97,156,0.62,108,167,5,5,1.0,0,1,181.0,65,120,22,26,10,10,77,130,10,14,10,12
UFC 144: Edgar vs Henderson,Zhang Tiequan,0,6,19,0.31,6,19,0,0,,1,0,1.0,3,16,0,0,3,3,6,19,0,0,0,0,Issei Tamura,2,15,24,0.62,77,90,1,2,0.5,0,0,251.0,15,24,0,0,0,0,7,13,0,0,8,11
UFC on FOX: Shogun vs Vera,Phil Davis,0,4,12,0.33,4,12,0,0,,0,0,0.0,3,9,1,3,0,0,4,12,0,0,0,0,Wagner Prado,0,2,16,0.12,3,17,0,0,,0,0,0.0,2,15,0,1,0,0,2,16,0,0,0,0
UFC 218: Holloway vs. Aldo 2,Justin Willis,1,22,44,0.5,25,47,0,0,,0,0,2.0,21,43,1,1,0,0,14,25,6,17,2,2,Allen Crowder,0,15,38,0.39,17,41,0,0,,0,0,0.0,6,29,1,1,8,8,13,31,2,7,0,0
UFC 20: Battle for the Gold,Laverne Clark,1,6,6,1.0,6,6,0,0,,0,0,,3,3,3,3,0,0,3,3,1,1,2,2,Fabiano Iha,0,0,3,0.0,0,3,0,0,,2,0,,0,0,0,0,0,3,0,3,0,0,0,0
UFC 149: Faber vs Barao,Urijah Faber,0,60,178,0.33,62,180,0,6,0.0,0,0,8.0,38,141,12,26,10,11,57,170,3,8,0,0,Renan Barao,0,85,290,0.29,85,290,0,0,,0,0,0.0,55,236,10,23,20,31,81,282,4,8,0,0
UFC 167: St-Pierre vs Hendricks,Georges St-Pierre,0,101,221,0.45,125,245,3,6,0.5,1,0,172.0,47,136,26,51,28,34,84,200,16,20,1,1,Johny Hendricks,0,85,194,0.43,142,252,2,4,0.5,0,0,328.0,58,159,4,9,23,26,52,153,29,37,4,4
UFC 232: Jones vs. Gustafsson 2,Chad Mendes,1,28,51,0.54,28,51,3,4,0.75,0,0,45.0,16,37,6,7,6,7,24,46,4,5,0,0,Alexander Volkanovski,1,54,124,0.43,54,124,0,0,,0,0,8.0,36,91,10,19,8,14,46,113,5,8,3,3
UFC Fight Night: Hall vs. Silva,Maurice Greene,0,17,37,0.45,17,37,0,0,,0,0,0.0,6,21,3,5,8,11,16,36,0,0,1,1,Greg Hardy,1,46,74,0.62,56,85,1,1,1.0,0,0,152.0,32,55,5,5,9,14,19,36,0,0,27,38
UFC Fight Night: Rivera vs. Moraes,Desmond Green,0,77,191,0.4,77,191,0,0,,0,0,0.0,61,160,13,27,3,4,75,187,2,4,0,0,Gleison Tibau,0,28,178,0.15,29,179,0,3,0.0,0,0,0.0,20,159,6,17,2,2,28,176,0,2,0,0
UFC Fight Night: Weidman vs. Gastelum,Timothy Johnson,0,19,41,0.46,25,50,0,0,,0,0,81.0,7,24,2,5,10,12,8,26,11,15,0,0,Junior Albini,1,21,35,0.6,28,42,0,0,,0,0,1.0,11,23,9,11,1,1,12,24,7,8,2,3
UFC Fight Night: Fight for the Troops 2,DaMarques Johnson,0,2,4,0.5,11,13,1,1,1.0,0,0,185.0,2,4,0,0,0,0,0,1,0,0,2,3,Mike Guymon,0,1,1,1.0,10,10,0,1,0.0,0,0,0.0,0,0,0,0,1,1,1,1,0,0,0,0
UFC 160: Velasquez vs Silva 2,Cain Velasquez,1,18,28,0.64,18,28,0,2,0.0,0,0,11.0,16,26,1,1,1,1,6,15,1,1,11,12,Antonio Silva,0,1,3,0.33,2,4,0,0,,0,0,0.0,1,3,0,0,0,0,1,3,0,0,0,0
UFC Fight Night: Dos Anjos vs. Lee,Julio Arce,1,74,160,0.46,74,160,1,1,1.0,0,0,13.0,61,142,12,17,1,1,71,155,2,4,1,1,Julian Erosa,0,43,160,0.26,46,164,0,0,,0,0,33.0,23,129,15,24,5,7,39,151,4,9,0,0
UFC 152: Jones vs Belfort,Cub Swanson,1,9,21,0.42,9,21,0,0,,0,0,2.0,6,13,2,3,1,5,9,20,0,0,0,1,Charles Oliveira,0,6,18,0.33,10,22,1,2,0.5,0,0,46.0,5,17,0,0,1,1,4,15,0,0,2,3
UFC 250: Nunes vs. Spencer,Raphael Assuncao,0,17,52,0.32,17,52,0,0,,0,0,0.0,4,25,2,11,11,16,17,52,0,0,0,0,Cody Garbrandt,1,19,43,0.44,20,45,0,0,,0,0,3.0,7,24,2,5,10,14,19,43,0,0,0,0
UFC 70: Nations Collide,Paul Taylor,1,78,198,0.39,80,200,0,0,,0,0,8.0,44,153,6,7,28,38,71,183,4,5,3,10,Edilberto de Oliveira,0,46,142,0.32,46,142,0,5,0.0,0,0,19.0,20,110,15,15,11,17,45,139,1,3,0,0
UFC Fight Night: Overeem vs Arlovski,Karolina Kowalkiewicz,0,119,261,0.45,164,309,0,1,0.0,0,0,44.0,87,216,22,33,10,12,85,212,34,49,0,0,Heather Clark,0,70,152,0.46,134,219,0,15,0.0,0,1,300.0,46,115,17,28,7,9,61,139,9,13,0,0
UFC Fight Night 56: Shogun vs Saint Preux,Leandro Silva,0,4,8,0.5,12,16,1,1,1.0,1,0,64.0,2,5,2,3,0,0,4,8,0,0,0,0,Charlie Brenneman,0,4,9,0.44,9,16,3,8,0.37,0,0,141.0,1,4,0,2,3,3,3,8,0,0,1,1
UFC 118: Edgar vs Penn 2,Dan Miller,0,23,74,0.31,23,74,0,1,0.0,2,0,8.0,17,67,3,4,3,3,23,73,0,1,0,0,John Salter,0,21,52,0.4,29,62,2,3,0.66,0,0,99.0,18,49,2,2,1,1,17,46,3,5,1,1
UFC 246: McGregor vs. Cowboy,Aleksei Oleinik,0,7,22,0.31,25,46,3,3,1.0,3,0,444.0,4,19,2,2,1,1,4,16,0,0,3,6,Maurice Greene,0,13,29,0.44,38,54,0,0,,0,0,54.0,10,25,1,2,2,2,10,26,3,3,0,0
UFC Fight Night: Alvarez vs. Poirier 2,Eddie Alvarez,0,26,76,0.34,35,88,0,3,0.0,1,0,148.0,10,53,10,15,6,8,21,67,1,3,4,6,Dustin Poirier,1,54,115,0.46,76,138,0,0,,2,0,5.0,44,101,4,6,6,8,47,108,7,7,0,0
UFC 150: Henderson vs Edgar II,Justin Lawrence,0,32,90,0.35,32,92,1,4,0.25,0,0,9.0,26,70,3,15,3,5,32,90,0,0,0,0,Max Holloway,1,29,124,0.23,29,124,0,0,,0,0,5.0,18,110,8,11,3,3,23,108,0,0,6,16
