Event,Fighter 1,KD F_1,Sig. str. landed F_1,Sig. str. thrown F_1,Sig. str. % F_1,Total str. landed F_1,Total str. thrown F_1,Td completed F_1,Td attempted F_1,Td % F_1,Sub. att F_1,Rev. F_1,Ctrl F_1,Head landed F_1,Head thrown F_1,Body landed F_1,Body thrown F_1,Leg landed F_1,Leg thrown F_1,Distance landed F_1,Distance thrown F_1,Clinch landed F_1,Clinch thrown F_1,Ground landed F_1,Ground thrown F_1,Fighter 2,KD F_2,Sig. str. landed F_2,Sig. str. thrown F_2,Sig. str. % F_2,Total str. landed F_2,Total str. thrown F_2,Td completed F_2,Td attempted F_2,Td % F_2,Sub. att F_2,Rev. F_2,Ctrl F_2,Head landed F_2,Head thrown F_2,Body landed F_2,Body thrown F_2,Leg landed F_2,Leg thrown F_2,Distance landed F_2,Distance thrown F_2,Clinch landed F_2,Clinch thrown F_2,Ground landed F_2,Ground thrown F_2
UFC 236: Holloway vs. Poirier 2,Brandon Davis,0,35,88,0.39,40,93,0,0,,1,0,75.0,20,67,6,11,9,10,30,82,5,6,0,0,Randy Costa,0,46,101,0.45,49,104,0,0,,0,0,37.0,37,89,8,11,1,1,44,98,2,3,0,0
UFC Fight Night: Dern vs. Rodriguez,Chris Gutierrez,0,96,144,0.66,115,165,0,3,0.0,0,0,90.0,57,101,14,15,25,28,93,138,2,4,1,2,Felipe Colares,0,41,147,0.27,70,178,1,7,0.14,0,0,239.0,23,111,15,31,3,5,41,147,0,0,0,0
UFC 139: Shogun vs Henderson,Ryan Bader,1,6,14,0.42,6,14,0,0,,0,0,1.0,6,13,0,0,0,1,6,14,0,0,0,0,Jason Brilz,0,1,13,0.07,1,13,0,0,,0,0,0.0,1,12,0,0,0,1,1,13,0,0,0,0
UFC Fight Night: Smith vs. Spann,Nate Maness,1,31,63,0.49,64,98,1,1,1.0,0,0,15.0,26,57,5,6,0,0,21,52,2,2,8,9,Tony Gravely,1,36,68,0.52,44,77,1,6,0.16,0,0,146.0,18,43,8,11,10,14,25,55,8,10,3,3
UFC Fight Night: Belfort vs Henderson 3,Gilbert Burns,0,28,77,0.36,29,78,2,5,0.4,0,0,125.0,14,55,5,11,9,11,27,70,1,5,0,2,Rashid Magomedov,2,80,145,0.55,94,160,2,2,1.0,0,0,69.0,59,112,14,26,7,7,68,129,6,7,6,9
UFC 10: The Tournament,Brian Johnston,0,2,5,0.4,13,17,1,2,0.5,1,1,,2,5,0,0,0,0,0,0,0,0,2,5,Scott Fiedler,0,3,4,0.75,5,7,0,0,,0,0,,2,3,0,0,1,1,1,1,0,0,2,3
UFC Fight Night: Lewis vs. Dos Santos,Maurice Greene,0,70,161,0.43,72,163,0,0,,0,0,19.0,42,114,10,20,18,27,58,145,12,16,0,0,Jeff Hughes,0,66,143,0.46,67,144,0,1,0.0,0,0,45.0,42,107,11,15,13,21,62,139,4,4,0,0
UFC 190: Rousey vs Correia,Glaico Franca Moreira,0,23,31,0.74,47,57,4,9,0.44,1,0,400.0,6,12,8,8,9,11,13,19,5,5,5,7,Fernando Bruno,0,20,32,0.62,41,53,2,11,0.18,0,0,336.0,14,25,5,5,1,2,12,20,8,12,0,0
UFC 117: Silva vs Sonnen,Clay Guida,0,19,90,0.21,47,123,2,6,0.33,0,0,271.0,10,80,3,4,6,6,11,79,4,5,4,6,Rafael Dos Anjos,0,17,64,0.26,29,76,1,4,0.25,0,0,51.0,11,51,3,5,3,8,13,60,3,3,1,1
UFC Fight Night: Lewis vs. Abdurakhimov,Andrew Sanchez,0,74,204,0.36,79,209,0,0,,0,0,27.0,54,178,15,20,5,6,55,180,19,24,0,0,Trevor Smith,0,61,141,0.43,66,149,0,2,0.0,0,0,43.0,20,98,22,23,19,20,38,115,22,25,1,1
UFC 154: St-Pierre vs Condit,Steven Siler,0,15,48,0.31,61,96,0,0,,1,0,14.0,8,40,4,4,3,4,9,37,5,10,1,1,Darren Elkins,0,44,91,0.48,103,159,6,7,0.85,6,0,682.0,36,76,5,12,3,3,10,34,11,16,23,41
UFC 188: Velasquez vs Werdum,Tecia Torres,0,32,80,0.4,86,144,2,12,0.16,0,0,544.0,14,56,10,15,8,9,22,63,9,13,1,4,Angela Hill,0,27,68,0.39,66,110,0,0,,0,0,25.0,16,50,8,15,3,3,16,52,11,15,0,1
UFC 262: Oliveira vs. Chandler,Jacare Souza,0,11,19,0.57,15,23,1,2,0.5,0,0,53.0,5,13,4,4,2,2,7,13,0,0,4,6,Andre Muniz,0,7,12,0.58,19,26,2,3,0.66,1,0,70.0,3,8,2,2,2,2,6,11,1,1,0,0
UFC Fight Night: Lewis vs. Dos Santos,Beneil Dariush,0,37,65,0.56,41,69,2,5,0.4,1,0,317.0,22,47,12,14,3,4,17,39,10,14,10,12,Drew Dober,0,31,58,0.53,38,66,0,0,,0,0,61.0,17,44,9,9,5,5,17,43,14,15,0,0
UFC Fight Night: Marreta vs. Anders,Alex Oliveira,0,7,10,0.7,10,13,0,0,,0,0,5.0,7,9,0,1,0,0,2,4,0,0,5,6,Carlo Pedersoli Jr.,0,2,4,0.5,2,4,0,0,,0,0,0.0,0,2,1,1,1,1,2,4,0,0,0,0
UFC Fight Night: Barboza vs. Lee,Aljamain Sterling,0,89,152,0.58,117,181,3,9,0.33,0,1,82.0,40,88,37,51,12,13,53,103,26,32,10,17,Brett Johns,0,27,89,0.3,56,119,1,5,0.2,0,0,391.0,23,79,4,8,0,2,17,76,10,13,0,0
UFC 19: Ultimate Young Guns,Kevin Randleman,0,17,49,0.34,39,77,4,4,1.0,0,0,,17,49,0,0,0,0,4,18,1,2,12,29,Maurice Smith,0,9,16,0.56,14,21,0,0,,2,0,,2,9,2,2,5,5,6,13,3,3,0,0
UFC 160: Velasquez vs Silva 2,Brian Bowles,1,24,72,0.33,28,76,0,0,,1,1,49.0,20,65,4,7,0,0,21,67,0,1,3,4,George Roop,1,44,100,0.44,46,103,0,0,,0,0,31.0,32,80,9,13,3,7,32,83,2,4,10,13
UFC 163: Aldo vs Jung,Jose Aldo,0,32,87,0.36,43,99,5,6,0.83,0,0,300.0,24,77,7,8,1,2,28,78,0,0,4,9,Chan Sung Jung,0,17,117,0.14,42,145,0,0,,0,0,3.0,13,106,2,5,2,6,14,112,3,4,0,1
UFC 82: Pride of a Champion,Diego Sanchez,0,24,50,0.48,49,75,1,1,1.0,0,0,270.0,21,47,3,3,0,0,0,1,0,0,24,49,David Bielkheden,0,1,1,1.0,11,11,0,0,,0,0,0.0,0,0,1,1,0,0,0,0,1,1,0,0
UFC 101: Declaration,Alessio Sakara,0,24,83,0.28,25,84,0,0,,0,1,33.0,18,75,6,8,0,0,22,78,0,0,2,5,Thales Leites,0,22,102,0.21,35,120,4,12,0.33,0,0,161.0,15,95,1,1,6,6,14,81,0,2,8,19
UFC Fight Night: Weidman vs. Gastelum,Dennis Bermudez,0,69,160,0.43,101,194,1,6,0.16,0,0,156.0,39,126,18,21,12,13,47,125,22,34,0,1,Darren Elkins,0,70,154,0.45,99,189,3,10,0.3,2,0,246.0,42,119,24,31,4,4,34,107,33,44,3,3
UFC 235: Jones vs. Smith,Edmen Shahbazyan,1,13,21,0.61,13,21,0,0,,0,0,2.0,13,20,0,0,0,1,4,10,7,7,2,4,Charles Byrd,0,1,6,0.16,1,6,0,1,0.0,0,0,3.0,0,5,0,0,1,1,1,6,0,0,0,0
UFC 185: Pettis vs Dos Anjos,Daron Cruickshank,0,17,43,0.39,18,44,0,5,0.0,0,0,24.0,10,31,2,6,5,6,11,35,6,8,0,0,Beneil Dariush,0,27,51,0.52,30,54,1,1,1.0,2,0,129.0,13,35,11,13,3,3,18,38,2,5,7,8
UFC Fight Night: Barboza vs. Gaethje,David Branch,0,1,6,0.16,1,6,0,0,,0,0,4.0,1,6,0,0,0,0,1,6,0,0,0,0,Jack Hermansson,0,3,10,0.3,3,10,1,2,0.5,1,0,10.0,1,6,0,2,2,2,3,10,0,0,0,0
UFC 249: Ferguson vs. Gaethje,Tony Ferguson,0,136,296,0.45,136,296,0,0,,0,0,0.0,64,212,36,43,36,41,136,296,0,0,0,0,Justin Gaethje,0,143,197,0.72,143,197,0,0,,0,0,0.0,100,153,13,14,30,30,143,197,0,0,0,0
UFC Fight Night: Ngannou vs. Velasquez,Vicente Luque,1,163,241,0.67,164,242,0,0,,2,1,41.0,132,209,17,17,14,15,140,216,16,17,7,8,Bryan Barberena,1,169,355,0.47,195,382,0,1,0.0,0,0,31.0,146,324,16,23,7,8,147,319,14,21,8,15
UFC Fight Night: Lauzon vs Stephens,Gleison Tibau,0,7,10,0.7,22,26,2,3,0.66,1,0,201.0,5,8,0,0,2,2,2,2,3,4,2,4,Rich Clementi,0,1,9,0.11,2,10,0,1,0.0,0,0,20.0,0,6,1,2,0,1,0,6,1,3,0,0
UFC 188: Velasquez vs Werdum,Augusto Montano,0,21,55,0.38,28,62,0,0,,0,0,0.0,8,33,7,15,6,7,14,42,7,13,0,0,Cathal Pendred,0,17,41,0.41,45,75,4,17,0.23,0,0,382.0,1,17,0,4,16,20,15,35,2,6,0,0
UFC 138: Leben vs Munoz,Terry Etim,0,5,6,0.83,5,6,0,0,,1,0,0.0,3,4,1,1,1,1,5,6,0,0,0,0,Edward Faaloloto,0,0,3,0.0,0,3,0,0,,0,0,8.0,0,3,0,0,0,0,0,3,0,0,0,0
UFC Live: Hardy vs Lytle,Jacob Volkmann,0,6,16,0.37,39,51,3,5,0.6,6,0,467.0,4,13,1,2,1,1,3,13,0,0,3,3,Danny Castillo,0,22,30,0.73,47,57,1,4,0.25,0,1,186.0,2,10,9,9,11,11,7,15,3,3,12,12
UFC Fight Night: Stevenson vs Guillard,Drew Fickett,0,79,174,0.45,132,241,2,5,0.4,0,0,404.0,36,125,37,43,6,6,16,58,34,46,29,70,Keita Nakamura,0,32,88,0.36,49,118,2,2,1.0,0,1,181.0,29,85,2,2,1,1,18,63,8,12,6,13
UFC 152: Jones vs Belfort,Jon Jones,1,65,110,0.59,96,144,1,1,1.0,1,0,565.0,46,79,5,10,14,21,23,52,0,2,42,56,Vitor Belfort,0,16,36,0.44,22,43,0,0,,1,0,6.0,8,26,3,5,5,5,11,28,4,6,1,2
UFC 2: No Way Out,Orlando Wiet,0,8,12,0.66,11,15,0,0,,0,0,,7,11,1,1,0,0,1,3,0,0,7,9,Robert Lucarelli,0,2,6,0.33,2,6,1,1,1.0,1,0,,1,2,0,1,1,3,2,6,0,0,0,0
UFC Fight Night: Dos Santos vs. Ivanov,Jessica Aguilar,0,128,199,0.64,138,209,0,6,0.0,0,0,94.0,83,150,32,36,13,13,85,151,43,48,0,0,Jodie Esquibel,0,81,190,0.42,81,190,0,2,0.0,0,0,87.0,54,152,27,38,0,0,73,178,8,12,0,0
UFC on FOX: Werdum vs Browne,Fabricio Werdum,0,121,196,0.61,171,251,2,6,0.33,0,0,304.0,82,154,21,24,18,18,113,186,6,8,2,2,Travis Browne,0,60,156,0.38,77,173,0,1,0.0,0,0,48.0,36,124,17,22,7,10,48,143,3,4,9,9
UFC on FOX: Maia vs. Condit,Enrique Barzola,0,55,165,0.33,56,168,1,9,0.11,0,0,18.0,31,136,17,22,7,7,47,155,8,10,0,0,Kyle Bochniak,0,41,141,0.29,41,142,1,3,0.33,0,0,27.0,15,107,6,11,20,23,38,136,3,5,0,0
UFC Fight Night: Mendes vs Lamas,Shamil Abdurakhimov,0,9,25,0.36,11,27,0,1,0.0,0,0,31.0,5,19,0,1,4,5,9,22,0,3,0,0,Timothy Johnson,0,22,59,0.37,33,72,1,2,0.5,0,0,57.0,14,44,1,6,7,9,3,29,8,12,11,18
UFC Fight Night: Eye vs. Calvillo,Tyson Nam,1,2,3,0.66,2,3,0,0,,0,0,2.0,2,3,0,0,0,0,1,2,0,0,1,1,Zarrukh Adashev,0,2,6,0.33,2,6,0,0,,0,0,0.0,1,5,0,0,1,1,2,6,0,0,0,0
UFC Fight Night: Edgar vs Faber,Zhang Lipeng,0,20,47,0.42,51,81,1,2,0.5,0,0,151.0,6,31,4,4,10,12,13,32,6,8,1,7,Kajan Johnson,0,20,51,0.39,23,54,3,11,0.27,1,0,385.0,10,36,2,6,8,9,8,34,9,11,3,6
UFC Fight Night: Cejudo vs. Dillashaw,Kyle Stewart,0,2,11,0.18,2,11,0,0,,0,0,0.0,0,9,2,2,0,0,2,11,0,0,0,0,Chance Rencountre,0,6,9,0.66,13,22,2,3,0.66,1,0,119.0,5,8,0,0,1,1,4,7,0,0,2,2
UFC on FX: Browne vs Bigfoot,Jacob Volkmann,0,8,25,0.32,14,32,1,4,0.25,2,0,84.0,6,18,2,4,0,3,3,16,0,0,5,9,Shane Roller,0,0,7,0.0,0,7,0,0,,0,0,0.0,0,7,0,0,0,0,0,7,0,0,0,0
UFC Fight Night: Lawler vs. Dos Anjos,Julian Marquez,0,32,64,0.5,37,69,0,3,0.0,3,0,52.0,29,60,3,4,0,0,8,30,17,24,7,10,Darren Stewart,0,33,58,0.56,37,66,4,6,0.66,0,0,205.0,28,53,3,3,2,2,16,34,17,23,0,1
UFC Fight Night: Overeem vs. Oleinik,Gadzhimurad Antigulov,0,6,13,0.46,6,13,0,2,0.0,0,0,0.0,5,12,1,1,0,0,6,13,0,0,0,0,Michal Oleksiejczuk,3,8,10,0.8,8,10,0,0,,0,0,8.0,8,10,0,0,0,0,3,5,1,1,4,4
The Ultimate Fighter: Tournament of Champions Finale,Jake Ellenberger,0,11,31,0.35,11,31,0,1,0.0,0,0,3.0,7,24,1,2,3,5,9,26,2,5,0,0,Jorge Masvidal,0,44,63,0.69,50,70,0,0,,0,0,38.0,26,40,9,12,9,11,26,39,12,17,6,7
UFC 214: Cormier vs. Jones 2,Joshua Burkman,0,11,18,0.61,11,18,0,1,0.0,0,0,0.0,4,7,4,6,3,5,7,14,4,4,0,0,Drew Dober,1,15,29,0.51,20,34,0,1,0.0,0,0,67.0,5,17,4,6,6,6,9,21,5,7,1,1
UFC Fight Night: Brunson vs. Machida,Pedro Munhoz,0,20,48,0.41,20,48,0,1,0.0,1,1,2.0,11,32,1,4,8,12,20,48,0,0,0,0,Rob Font,0,30,68,0.44,30,68,0,1,0.0,0,0,5.0,23,52,6,15,1,1,30,68,0,0,0,0
UFC 238: Cejudo vs. Moraes,Tatiana Suarez,0,75,142,0.52,95,166,4,13,0.3,0,0,497.0,29,85,22,29,24,28,42,100,7,7,26,35,Nina Nunes,0,48,99,0.48,54,105,0,0,,0,0,0.0,31,66,15,26,2,7,39,89,4,5,5,5
UFC 148: Silva vs Sonnen 2,Dong Hyun Kim,0,8,8,1.0,8,8,0,0,,0,0,0.0,7,7,0,0,1,1,1,1,4,4,3,3,Demian Maia,0,1,1,1.0,3,3,1,3,0.33,0,0,41.0,1,1,0,0,0,0,0,0,0,0,1,1
UFC Fight Night: Belfort vs Henderson 2,Jose Maria,0,43,80,0.53,55,92,2,6,0.33,2,0,96.0,13,45,5,8,25,27,34,71,8,8,1,1,Dustin Ortiz,0,55,104,0.52,103,155,4,7,0.57,0,0,338.0,28,76,17,17,10,11,20,68,14,15,21,21
The Ultimate Fighter: Team Bisping vs Team Miller Finale,Louis Gaudinot,0,6,29,0.2,18,41,0,2,0.0,0,0,0.0,3,23,0,0,3,6,2,20,4,9,0,0,Johnny Bedford,1,82,140,0.58,155,229,4,6,0.66,0,0,561.0,50,102,29,35,3,3,10,34,19,23,53,83
UFC 227: Dillashaw vs. Garbrandt 2,Matt Sayles,0,77,235,0.32,79,237,0,3,0.0,0,0,67.0,39,185,23,30,15,20,67,220,10,15,0,0,Sheymon Moraes,0,73,172,0.42,77,177,0,4,0.0,0,0,3.0,31,113,40,55,2,4,64,161,9,11,0,0
UFC 265: Lewis vs. Gane,Miles Johns,1,80,118,0.67,80,118,0,0,,0,0,0.0,54,90,11,12,15,16,78,116,2,2,0,0,Anderson Dos Santos,0,32,164,0.19,33,165,0,5,0.0,0,0,9.0,24,149,3,9,5,6,31,163,1,1,0,0
UFC 96: Jackson vs Jardine,Tamdan McCrory,0,12,23,0.52,20,33,1,1,1.0,0,0,202.0,12,23,0,0,0,0,1,2,0,0,11,21,Ryan Madigan,0,0,2,0.0,15,20,0,0,,0,0,0.0,0,1,0,0,0,1,0,2,0,0,0,0
UFC 249: Ferguson vs. Gaethje,Carla Esparza,0,45,103,0.43,48,106,1,10,0.1,0,0,46.0,34,88,6,8,5,7,39,94,5,8,1,1,Michelle Waterson,0,44,98,0.44,44,98,0,0,,0,0,0.0,15,60,13,16,16,22,39,92,5,6,0,0
UFC Fight Night: Thomas vs Florian,Kenny Florian,0,27,57,0.47,50,82,2,2,1.0,1,0,102.0,21,50,4,4,2,3,5,17,0,0,22,40,Din Thomas,0,3,15,0.2,3,15,0,1,0.0,0,0,21.0,3,14,0,0,0,1,0,8,1,3,2,4
UFC Fight Night: Shogun vs Sonnen,Mauricio Rua,0,0,1,0.0,9,10,0,1,0.0,0,0,50.0,0,1,0,0,0,0,0,0,0,1,0,0,Chael Sonnen,0,5,9,0.55,58,70,2,3,0.66,2,0,229.0,3,7,2,2,0,0,0,1,1,1,4,7
UFC Fight Night: Condit vs Alves,Luiz Dutra,0,21,43,0.48,28,52,0,2,0.0,0,0,45.0,7,25,9,13,5,5,10,26,11,17,0,0,Tom Breese,1,26,42,0.61,26,42,0,2,0.0,0,0,58.0,11,23,11,15,4,4,8,16,11,15,7,11
UFC Fight Night: Machida vs Romero,Hacran Dias,0,17,33,0.51,30,49,3,10,0.3,1,0,202.0,4,20,7,7,6,6,17,33,0,0,0,0,Levan Makashvili,0,37,65,0.56,66,96,2,8,0.25,0,0,346.0,16,40,9,12,12,13,24,46,6,9,7,10
UFC 129: St-Pierre vs Shields,Georges St-Pierre,0,85,245,0.34,92,252,2,3,0.66,0,0,47.0,54,190,21,45,10,10,82,239,1,1,2,5,Jake Shields,0,78,401,0.19,96,423,0,6,0.0,0,0,20.0,34,318,27,44,17,39,78,399,0,2,0,0
UFC - Ultimate Ultimate '95,Oleg Taktarov,0,6,33,0.18,10,37,0,3,0.0,1,0,,2,19,0,1,4,13,6,33,0,0,0,0,Marco Ruas,0,14,53,0.26,29,68,0,0,,0,0,,3,31,0,0,11,22,14,52,0,0,0,1
UFC 117: Silva vs Sonnen,Ben Saunders,0,30,45,0.66,54,72,0,0,,1,0,0.0,17,30,13,15,0,0,20,34,10,11,0,0,Dennis Hallman,0,28,55,0.5,96,132,3,6,0.5,0,0,709.0,24,49,1,2,3,4,3,14,4,8,21,33
UFC Fight Night: Costa vs. Vettori,Jonathan Martinez,0,92,188,0.48,94,191,0,0,,0,0,0.0,65,154,14,19,13,15,92,188,0,0,0,0,Zviad Lazishvili,0,63,160,0.39,66,163,0,6,0.0,0,0,90.0,25,115,17,22,21,23,60,153,3,7,0,0
UFC 111: St-Pierre vs Hardy,Jim Miller,0,23,67,0.34,42,89,1,2,0.5,3,1,97.0,12,54,5,7,6,6,14,50,6,10,3,7,Mark Bocek,0,17,45,0.37,52,81,4,8,0.5,1,0,591.0,7,34,7,8,3,3,6,29,8,9,3,7
UFC 164: Henderson vs Pettis 2,Louis Gaudinot,0,28,78,0.35,41,95,0,0,,0,0,14.0,12,56,6,8,10,14,23,69,5,9,0,0,Tim Elliott,0,116,200,0.58,270,386,6,6,1.0,2,0,548.0,76,150,26,34,14,16,34,74,20,22,62,104
UFC Fight Night: Dern vs. Rodriguez,Charles Rosa,0,34,87,0.39,116,181,2,3,0.66,0,1,78.0,17,66,4,8,13,13,26,76,5,8,3,3,Damon Jackson,0,41,87,0.47,53,101,6,12,0.5,2,3,624.0,33,77,6,8,2,2,20,58,3,3,18,26
UFC 11: The Proving Ground,Scott Ferrozzo,0,60,94,0.63,180,216,0,1,0.0,0,0,,17,48,34,37,9,9,17,43,43,51,0,0,David Abbott,0,21,50,0.42,27,56,0,1,0.0,0,0,,20,49,1,1,0,0,15,39,6,11,0,0
UFC Fight Night: Hunt vs Nelson,Maximo Blanco,0,132,240,0.55,137,246,3,13,0.23,0,0,155.0,128,232,4,8,0,0,109,198,22,41,1,1,Dan Hooker,0,99,236,0.41,116,253,0,0,,0,0,105.0,75,201,19,27,5,8,66,174,33,62,0,0
UFC Fight Night 4,Stephan Bonnar,1,33,93,0.35,52,113,1,6,0.16,1,0,234.0,20,77,10,10,3,6,24,84,9,9,0,0,Keith Jardine,0,64,118,0.54,90,146,0,1,0.0,0,0,28.0,34,81,15,17,15,20,46,99,18,19,0,0
UFC Fight Night: Fight for the Troops 3,George Roop,0,23,61,0.37,29,68,1,4,0.25,0,0,139.0,14,45,5,11,4,5,16,49,7,12,0,0,Francisco Rivera,1,27,73,0.36,42,89,0,1,0.0,0,0,56.0,23,67,1,2,3,4,14,47,8,16,5,10
UFC on FUEL TV: Silva vs. Stann,Cristiano Marcello,0,33,76,0.43,67,117,1,4,0.25,0,0,55.0,21,57,7,11,5,8,24,64,8,11,1,1,Kazuki Tokudome,1,33,77,0.42,90,178,2,2,1.0,0,0,506.0,20,58,8,10,5,9,22,50,3,3,8,24
UFC 128: Shogun vs Jones,Erik Koch,1,4,18,0.22,5,19,0,0,,0,0,2.0,2,16,1,1,1,1,4,18,0,0,0,0,Raphael Assuncao,0,9,20,0.45,9,20,0,0,,0,0,0.0,3,12,3,4,3,4,9,20,0,0,0,0
UFC 101: Declaration,John Howard,0,19,37,0.51,58,78,5,7,0.71,1,1,507.0,5,19,5,6,9,12,8,21,0,0,11,16,Tamdan McCrory,0,11,46,0.23,44,83,2,6,0.33,1,2,182.0,8,42,2,3,1,1,5,33,3,3,3,10
UFC Fight Night 6,Chris Leben,1,9,22,0.4,24,37,1,2,0.5,0,0,136.0,6,16,3,5,0,1,3,9,3,5,3,8,Jorge Santiago,0,6,12,0.5,10,16,1,1,1.0,0,0,70.0,5,10,0,0,1,2,5,10,0,0,1,2
UFC - Ultimate Ultimate '95,David Abbott,0,1,1,1.0,3,5,1,1,1.0,1,0,,1,1,0,0,0,0,1,1,0,0,0,0,Steve Jennum,0,0,1,0.0,1,2,0,0,,0,0,,0,1,0,0,0,0,0,1,0,0,0,0
UFC Fight Night: Belfort vs Henderson 2,Paulo Thiago,0,5,13,0.38,6,16,1,2,0.5,0,0,23.0,4,12,1,1,0,0,1,8,4,5,0,0,Brandon Thatch,1,12,28,0.42,13,30,0,0,,0,0,27.0,7,20,5,6,0,2,7,18,3,8,2,2
UFC 169: Barao vs Faber 2,John Makdessi,0,61,129,0.47,66,134,0,0,,0,0,1.0,30,77,18,38,13,14,51,108,10,21,0,0,Alan Patrick,0,40,134,0.29,42,136,2,11,0.18,0,0,100.0,23,103,10,22,7,9,32,121,8,13,0,0
UFC 140: Jones vs Machida,Walel Watson,0,47,163,0.28,60,178,0,1,0.0,2,1,76.0,21,112,11,22,15,29,41,157,3,3,3,3,Yves Jabouin,0,33,90,0.36,33,90,2,6,0.33,0,0,101.0,9,47,5,11,19,32,32,88,1,2,0,0
UFC 156: Aldo vs Edgar,Edwin Figueroa,1,24,97,0.24,36,109,1,1,1.0,0,0,128.0,18,85,4,8,2,4,19,89,1,2,4,6,Francisco Rivera,1,51,127,0.4,54,131,2,2,1.0,0,0,67.0,25,89,8,12,18,26,44,115,2,3,5,9
UFC Fight Night: Iaquinta vs. Cowboy,Al Iaquinta,0,90,223,0.4,90,223,0,5,0.0,0,0,0.0,49,165,23,38,18,20,90,223,0,0,0,0,Donald Cerrone,2,138,361,0.38,140,363,0,0,,0,0,22.0,87,302,17,25,34,34,129,344,3,3,6,14
UFC 197: Jones vs Saint Preux,Walt Harris,1,31,58,0.53,40,69,0,0,,0,0,0.0,25,51,4,5,2,2,13,30,4,8,14,20,Cody East,0,26,62,0.41,26,62,0,0,,0,0,39.0,16,47,3,6,7,9,22,53,4,9,0,0
UFC Fight Night: Overeem vs. Harris,Darren Elkins,0,121,253,0.47,142,276,1,13,0.07,0,0,84.0,101,229,14,18,6,6,103,224,17,28,1,1,Nate Landwehr,0,118,234,0.5,121,237,0,0,,0,1,29.0,96,211,8,9,14,14,96,206,22,28,0,0
UFC 178: Johnson vs Cariaso,Manvel Gamburyan,0,11,52,0.21,20,63,2,6,0.33,1,0,92.0,5,43,2,4,4,5,8,43,3,8,0,1,Cody Gibson,1,49,118,0.41,61,131,1,2,0.5,0,0,162.0,35,103,11,12,3,3,28,86,17,25,4,7
UFC Fight Night: Alvarez vs. Poirier 2,Jose Aldo,1,29,63,0.46,29,63,0,0,,0,0,24.0,21,55,3,3,5,5,16,41,1,1,12,21,Jeremy Stephens,0,20,60,0.33,20,60,0,0,,0,0,0.0,16,55,2,3,2,2,16,52,4,8,0,0
UFC Fight Night: Rothwell vs Dos Santos,Jared Cannonier,1,27,34,0.79,27,34,0,0,,0,0,6.0,15,22,9,9,3,3,17,24,4,4,6,6,Cyril Asker,0,13,39,0.33,13,39,0,3,0.0,0,0,40.0,10,35,3,4,0,0,12,38,1,1,0,0
UFC Fight Night: Gustafsson vs. Teixeira,Peter Sobotta,3,46,97,0.47,50,102,0,0,,0,0,63.0,40,90,1,2,5,5,36,79,1,2,9,16,Ben Saunders,0,19,68,0.27,23,74,0,0,,0,0,0.0,9,44,7,17,3,7,14,62,0,1,5,5
UFC Macao: Franklin vs Le,Dong Hyun Kim,0,22,40,0.55,76,104,3,6,0.5,2,0,732.0,18,32,1,3,3,5,0,7,0,0,22,33,Paulo Thiago,0,2,10,0.2,4,12,0,0,,0,0,17.0,0,7,1,2,1,1,1,8,1,2,0,0
UFC 137: Penn vs Diaz,Hatsu Hioki,0,24,49,0.48,58,84,2,7,0.28,0,0,411.0,13,35,6,9,5,5,11,32,6,8,7,9,George Roop,0,35,104,0.33,90,164,2,2,1.0,0,0,213.0,20,78,11,18,4,8,22,84,9,14,4,6
UFC Fight Night: Cowboy vs Cowboy,Dennis Bermudez,0,61,80,0.76,120,142,4,5,0.8,1,0,260.0,51,68,5,7,5,5,11,27,7,9,43,44,Tatsuya Kawajiri,0,12,26,0.46,27,41,1,7,0.14,0,1,446.0,7,18,3,5,2,3,9,23,1,1,2,2
UFC Fight Night: Edgar vs Faber,Hyun Gyu Lim,0,15,36,0.41,15,36,0,0,,0,0,32.0,12,32,2,3,1,1,7,22,8,14,0,0,Neil Magny,0,43,75,0.57,64,102,2,4,0.5,0,1,186.0,34,64,2,4,7,7,8,22,9,11,26,42
UFC 64: Unstoppable,Clay Guida,0,26,52,0.5,93,125,2,4,0.5,2,0,452.0,23,49,2,2,1,1,2,13,1,1,23,38,Justin James,0,13,36,0.36,28,52,0,0,,1,0,26.0,8,31,5,5,0,0,3,24,8,10,2,2
UFC Fight Night: Minotauro vs Nelson,Clay Guida,1,47,68,0.69,92,113,3,10,0.3,0,0,538.0,18,39,7,7,22,22,12,32,17,17,18,19,Tatsuya Kawajiri,0,19,51,0.37,36,68,1,5,0.2,1,0,166.0,18,48,0,2,1,1,12,43,7,8,0,0
The Ultimate Fighter: Team GSP vs Team Koscheck Finale,Rich Attonito,0,6,15,0.4,17,32,0,0,,0,0,28.0,2,11,4,4,0,0,2,9,4,5,0,1,David Branch,0,16,27,0.59,53,79,4,10,0.4,0,0,739.0,2,13,6,6,8,8,0,8,14,14,2,5
UFC Fight Night: Waterson vs. Hill,Michelle Waterson,0,128,324,0.39,162,361,1,18,0.05,0,0,243.0,65,234,40,59,23,31,110,300,13,17,5,7,Angela Hill,0,131,261,0.5,146,278,0,0,,0,0,130.0,82,194,45,63,4,4,105,231,25,29,1,1
UFC Fight Night: Rodriguez vs. Stephens,Vinicius Moreira,0,1,3,0.33,1,3,0,0,,0,0,51.0,0,2,0,0,1,1,1,3,0,0,0,0,Paul Craig,1,18,27,0.66,33,43,1,1,1.0,1,0,128.0,16,25,2,2,0,0,1,3,6,6,11,18
