W/L,Fighter,Kd,Str,Td,Sub,Weight class,Method,Round,Time,Event
win,Yana Kunitskaya  Lina Lansberg,0  0,72  43,5  0,1  1,Women's Bantamweight,U-DEC,3.0,5:00,"UFC 229: Khabib vs. McGregor  October 06, 2018"
win,Nik Lentz  Gray Maynard,1  0,75  13,2  0,1  0,Lightweight,KO/TKO  Kick,2.0,1:19,"UFC 229: Khabib vs. McGregor  October 06, 2018"
win,Anthony Rocco Martin  Ryan LaFlare,2  0,36  35,0  0,1  0,Welterweight,KO/TKO  Kick,3.0,1:00,"UFC 229: Khabib vs. McGregor  October 06, 2018"
win,Thiago Santos  Eryk Anders,0  0,100  32,1  6,0  1,Light Heavyweight,KO/TKO,3.0,5:00,"UFC Fight Night: Marreta vs. Anders  September 22, 2018"
win,Alex Oliveira  Carlo Pedersoli Jr.,0  0,7  2,0  0,0  0,Welterweight,KO/TKO  Punch,1.0,0:39,"UFC Fight Night: Marreta vs. Anders  September 22, 2018"
win,Rogerio Nogueira  Sam Alvey,1  0,26  34,0  0,0  0,Light Heavyweight,KO/TKO  Punch,2.0,1:00,"UFC Fight Night: Marreta vs. Anders  September 22, 2018"
win,Andre Ewell  Renan Barao,1  0,53  44,1  3,0  2,Bantamweight,S-DEC,3.0,5:00,"UFC Fight Night: Marreta vs. Anders  September 22, 2018"
draw  draw,Randa Markos  Marina Rodriguez,0  0,48  60,2  0,0  0,Women's Strawweight,M-DEC,3.0,5:00,"UFC Fight Night: Marreta vs. Anders  September 22, 2018"
win,Charles Oliveira  Christos Giagos,0  0,28  18,2  0,1  0,Lightweight,SUB  Rear Naked Choke,2.0,3:22,"UFC Fight Night: Marreta vs. Anders  September 22, 2018"
win,Francisco Trinaldo  Evan Dunham,1  0,28  25,0  1,0  0,Lightweight,KO/TKO  Knee,2.0,4:10,"UFC Fight Night: Marreta vs. Anders  September 22, 2018"
win,Ryan Spann  Luis Henrique,0  0,46  30,0  4,1  1,Light Heavyweight,U-DEC,3.0,5:00,"UFC Fight Night: Marreta vs. Anders  September 22, 2018"
win,Augusto Sakai  Chase Sherman,0  0,111  79,1  0,0  0,Heavyweight,KO/TKO  Punches,3.0,4:03,"UFC Fight Night: Marreta vs. Anders  September 22, 2018"
win,Sergio Moraes  Ben Saunders,0  0,2  1,2  0,2  0,Welterweight,SUB  Arm Triangle,2.0,4:42,"UFC Fight Night: Marreta vs. Anders  September 22, 2018"
win,Mayra Bueno Silva  Gillian Robertson,0  0,11  11,0  1,1  0,Women's Flyweight,SUB  Armbar,1.0,4:55,"UFC Fight Night: Marreta vs. Anders  September 22, 2018"
win,Thales Leites  Hector Lombard,0  0,54  46,2  0,0  0,Middleweight,U-DEC,3.0,5:00,"UFC Fight Night: Marreta vs. Anders  September 22, 2018"
win,Elizeu Zaleski dos Santos  Luigi Vendramini,1  0,15  4,0  0,0  1,Welterweight,KO/TKO  Flying Knee,2.0,1:20,"UFC Fight Night: Marreta vs. Anders  September 22, 2018"
win,Livinha Souza  Alex Chambers,0  0,10  4,1  0,1  0,Women's Strawweight,SUB  Guillotine Choke,1.0,1:21,"UFC Fight Night: Marreta vs. Anders  September 22, 2018"
win,Aleksei Oleinik  Mark Hunt,0  0,3  6,1  0,1  0,Heavyweight,SUB  Rear Naked Choke,1.0,4:26,"UFC Fight Night: Hunt vs. Oleinik  September 15, 2018"
win,Jan Blachowicz  Nikita Krylov,0  0,10  4,1  1,1  1,Light Heavyweight,SUB  Arm Triangle,2.0,2:41,"UFC Fight Night: Hunt vs. Oleinik  September 15, 2018"
win,Shamil Abdurakhimov  Andrei Arlovski,0  0,32  18,2  2,0  0,Heavyweight,U-DEC,3.0,5:00,"UFC Fight Night: Hunt vs. Oleinik  September 15, 2018"
win,Aleksei Kunchenko  Thiago Alves,0  0,44  56,1  0,0  0,Welterweight,U-DEC,3.0,5:00,"UFC Fight Night: Hunt vs. Oleinik  September 15, 2018"
win,Khalid Murtazaliev  CB Dollaway,0  0,48  4,5  2,0  3,Middleweight,KO/TKO  Punches,2.0,5:00,"UFC Fight Night: Hunt vs. Oleinik  September 15, 2018"
win,Petr Yan  Jin Soo Son,0  0,100  58,0  1,0  0,Bantamweight,U-DEC,3.0,5:00,"UFC Fight Night: Hunt vs. Oleinik  September 15, 2018"
win,Rustam Khabilov  Kajan Johnson,0  0,17  44,3  0,0  0,Lightweight,S-DEC,3.0,5:00,"UFC Fight Night: Hunt vs. Oleinik  September 15, 2018"
win,Mairbek Taisumov  Desmond Green,0  0,27  27,0  0,0  0,Lightweight,U-DEC,3.0,5:00,"UFC Fight Night: Hunt vs. Oleinik  September 15, 2018"
win,Magomed Ankalaev  Marcin Prachnio,1  0,12  3,0  0,0  0,Light Heavyweight,KO/TKO  Kick,1.0,3:09,"UFC Fight Night: Hunt vs. Oleinik  September 15, 2018"
win,Jordan Johnson  Adam Yandiev,0  0,35  1,3  0,2  0,Middleweight,SUB  Arm Triangle,2.0,0:42,"UFC Fight Night: Hunt vs. Oleinik  September 15, 2018"
win,Ramazan Emeev  Stefan Sekulic,1  0,36  22,2  1,1  0,Welterweight,U-DEC,3.0,5:00,"UFC Fight Night: Hunt vs. Oleinik  September 15, 2018"
win,Merab Dvalishvili  Terrion Ware,0  0,62  8,5  0,0  0,Bantamweight,U-DEC,3.0,5:00,"UFC Fight Night: Hunt vs. Oleinik  September 15, 2018"
win,Tyron Woodley  Darren Till,1  0,57  0,0  0,1  0,Welterweight,SUB  D'Arce Choke,2.0,4:19,"UFC 228: Woodley vs. Till  September 08, 2018"
win,Jessica Andrade  Karolina Kowalkiewicz,1  0,38  24,0  0,0  0,Women's Strawweight,KO/TKO  Punch,1.0,1:58,"UFC 228: Woodley vs. Till  September 08, 2018"
win,Zabit Magomedsharipov  Brandon Davis,0  0,38  27,6  0,1  0,Featherweight,SUB  Suloev Stretch,2.0,3:46,"UFC 228: Woodley vs. Till  September 08, 2018"
win,Jimmie Rivera  John Dodson,0  0,62  41,0  0,0  0,Bantamweight,U-DEC,3.0,5:00,"UFC 228: Woodley vs. Till  September 08, 2018"
win,Abdul Razak Alhassan  Niko Price,1  0,15  4,0  0,0  0,Welterweight,KO/TKO  Punches,1.0,0:43,"UFC 228: Woodley vs. Till  September 08, 2018"
win,Tatiana Suarez  Carla Esparza,0  0,82  6,9  0,0  0,Women's Strawweight,KO/TKO  Punches,3.0,4:33,"UFC 228: Woodley vs. Till  September 08, 2018"
win,Aljamain Sterling  Cody Stamann,0  0,33  12,2  3,2  0,Bantamweight,SUB  Suloev Stretch,2.0,3:42,"UFC 228: Woodley vs. Till  September 08, 2018"
win,Geoff Neal  Frank Camacho,2  0,59  25,0  0,0  0,Welterweight,KO/TKO  Kick,2.0,1:23,"UFC 228: Woodley vs. Till  September 08, 2018"
win,Darren Stewart  Charles Byrd,1  0,24  38,0  0,0  0,Middleweight,KO/TKO  Elbow,2.0,2:17,"UFC 228: Woodley vs. Till  September 08, 2018"
win,Diego Sanchez  Craig White,0  1,46  18,3  0,0  1,Welterweight,U-DEC,3.0,5:00,"UFC 228: Woodley vs. Till  September 08, 2018"
win,Jim Miller  Alex White,0  0,15  5,1  0,1  0,Lightweight,SUB  Rear Naked Choke,1.0,1:29,"UFC 228: Woodley vs. Till  September 08, 2018"
win,Irene Aldana  Lucie Pudilova,0  0,119  105,0  0,0  0,Women's Bantamweight,S-DEC,3.0,5:00,"UFC 228: Woodley vs. Till  September 08, 2018"
win,Jarred Brooks  Robert Sanchez,0  0,24  16,2  1,1  0,Flyweight,S-DEC,3.0,5:00,"UFC 228: Woodley vs. Till  September 08, 2018"
win,Justin Gaethje  James Vick,1  0,7  10,0  0,0  0,Lightweight,KO/TKO  Punch,1.0,1:27,"UFC Fight Night: Gaethje vs. Vick  August 25, 2018"
win,Michael Johnson  Andre Fili,0  0,65  37,0  2,0  1,Featherweight,S-DEC,3.0,5:00,"UFC Fight Night: Gaethje vs. Vick  August 25, 2018"
win,Cortney Casey  Angela Hill,0  0,111  121,1  1,0  0,Women's Strawweight,S-DEC,3.0,5:00,"UFC Fight Night: Gaethje vs. Vick  August 25, 2018"
win,Bryan Barberena  Jake Ellenberger,2  0,19  12,0  0,0  0,Welterweight,KO/TKO  Punch,1.0,2:26,"UFC Fight Night: Gaethje vs. Vick  August 25, 2018"
win,Deiveson Figueiredo  John Moraga,2  0,29  14,2  0,1  1,Flyweight,KO/TKO  Punch,2.0,3:08,"UFC Fight Night: Gaethje vs. Vick  August 25, 2018"
win,Eryk Anders  Tim Williams,2  0,42  43,0  2,0  0,Middleweight,KO/TKO  Kick,3.0,4:42,"UFC Fight Night: Gaethje vs. Vick  August 25, 2018"
win,James Krause  Warlley Alves,0  0,59  28,0  1,0  0,Welterweight,KO/TKO  Flying Knee,2.0,2:28,"UFC Fight Night: Gaethje vs. Vick  August 25, 2018"
win,Cory Sandhagen  Iuri Alcantara,0  0,66  9,0  1,0  2,Bantamweight,KO/TKO  Punches,2.0,1:01,"UFC Fight Night: Gaethje vs. Vick  August 25, 2018"
win,Andrew Sanchez  Markus Perez,0  0,73  54,0  0,0  0,Middleweight,U-DEC,3.0,5:00,"UFC Fight Night: Gaethje vs. Vick  August 25, 2018"
win,Mickey Gall  George Sullivan,0  0,0  0,1  0,1  0,Welterweight,SUB  Rear Naked Choke,1.0,1:09,"UFC Fight Night: Gaethje vs. Vick  August 25, 2018"
win,Joanne Calderwood  Kalindra Faria,0  0,5  13,0  1,2  0,Women's Flyweight,SUB  Armbar,1.0,4:57,"UFC Fight Night: Gaethje vs. Vick  August 25, 2018"
win,Drew Dober  Jon Tuck,0  0,60  33,2  0,0  1,Lightweight,U-DEC,3.0,5:00,"UFC Fight Night: Gaethje vs. Vick  August 25, 2018"
win,Rani Yahya  Luke Sanders,0  0,4  2,0  0,2  0,Bantamweight,SUB  Heel Hook,1.0,1:31,"UFC Fight Night: Gaethje vs. Vick  August 25, 2018"
win,TJ Dillashaw  Cody Garbrandt,2  0,45  17,0  0,0  0,Bantamweight,KO/TKO  Punches,1.0,4:10,"UFC 227: Dillashaw vs. Garbrandt 2  August 04, 2018"
win,Henry Cejudo  Demetrious Johnson,0  0,51  81,3  1,0  0,Flyweight,S-DEC,5.0,5:00,"UFC 227: Dillashaw vs. Garbrandt 2  August 04, 2018"
win,Renato Moicano  Cub Swanson,1  0,17  20,1  0,1  0,Featherweight,SUB  Rear Naked Choke,1.0,4:15,"UFC 227: Dillashaw vs. Garbrandt 2  August 04, 2018"
win,JJ Aldrich  Polyana Viana,0  0,40  46,0  1,0  0,Women's Strawweight,U-DEC,3.0,5:00,"UFC 227: Dillashaw vs. Garbrandt 2  August 04, 2018"
win,Thiago Santos  Kevin Holland,0  0,69  31,3  0,1  1,Middleweight,U-DEC,3.0,5:00,"UFC 227: Dillashaw vs. Garbrandt 2  August 04, 2018"
win,Pedro Munhoz  Brett Johns,3  0,117  73,0  0,1  0,Bantamweight,U-DEC,3.0,5:00,"UFC 227: Dillashaw vs. Garbrandt 2  August 04, 2018"
win,Ricky Simon  Montel Jackson,0  0,25  42,7  2,0  0,Bantamweight,U-DEC,3.0,5:00,"UFC 227: Dillashaw vs. Garbrandt 2  August 04, 2018"
win,Ricardo Ramos  Kyung Ho Kang,0  0,54  65,1  1,1  0,Bantamweight,S-DEC,3.0,5:00,"UFC 227: Dillashaw vs. Garbrandt 2  August 04, 2018"
win,Sheymon Moraes  Matt Sayles,0  0,73  77,0  0,0  0,Featherweight,U-DEC,3.0,5:00,"UFC 227: Dillashaw vs. Garbrandt 2  August 04, 2018"
win,Alex Perez  Jose Torres,1  0,84  29,0  0,0  0,Flyweight,KO/TKO  Punches,1.0,3:46,"UFC 227: Dillashaw vs. Garbrandt 2  August 04, 2018"
win,Zhang Weili  Danielle Taylor,0  0,77  34,1  0,0  1,Women's Strawweight,U-DEC,3.0,5:00,"UFC 227: Dillashaw vs. Garbrandt 2  August 04, 2018"
win,Marlon Vera  Wuliji Buren,1  0,45  31,1  2,0  0,Bantamweight,KO/TKO  Punch,2.0,4:53,"UFC 227: Dillashaw vs. Garbrandt 2  August 04, 2018"
win,Dustin Poirier  Eddie Alvarez,1  0,54  26,0  0,2  1,Lightweight,KO/TKO  Punches,2.0,4:05,"UFC Fight Night: Alvarez vs. Poirier 2  July 28, 2018"
win,Jose Aldo  Jeremy Stephens,1  0,29  20,0  0,0  0,Featherweight,KO/TKO  Punches,1.0,4:19,"UFC Fight Night: Alvarez vs. Poirier 2  July 28, 2018"
win,Joanna Jedrzejczyk  Tecia Torres,0  0,62  33,0  0,0  0,Women's Strawweight,U-DEC,3.0,5:00,"UFC Fight Night: Alvarez vs. Poirier 2  July 28, 2018"
win,Alexander Hernandez  Olivier Aubin-Mercier,0  0,39  19,4  2,0  1,Lightweight,U-DEC,3.0,5:00,"UFC Fight Night: Alvarez vs. Poirier 2  July 28, 2018"
win,Jordan Mein  Alex Morono,0  0,14  20,3  0,0  1,Welterweight,U-DEC,3.0,5:00,"UFC Fight Night: Alvarez vs. Poirier 2  July 28, 2018"
win,Hakeem Dawodu  Austin Arnett,0  0,75  23,0  0,0  0,Featherweight,U-DEC,3.0,5:00,"UFC Fight Night: Alvarez vs. Poirier 2  July 28, 2018"
win,Islam Makhachev  Kajan Johnson,0  0,7  7,1  0,1  0,Lightweight,SUB  Armbar,1.0,4:43,"UFC Fight Night: Alvarez vs. Poirier 2  July 28, 2018"
win,Ion Cutelaba  Gadzhimurad Antigulov,0  0,40  12,0  3,0  0,Light Heavyweight,KO/TKO  Elbows,1.0,4:25,"UFC Fight Night: Alvarez vs. Poirier 2  July 28, 2018"
win,John Makdessi  Ross Pearson,0  0,131  79,0  0,0  0,Lightweight,U-DEC,3.0,5:00,"UFC Fight Night: Alvarez vs. Poirier 2  July 28, 2018"
win,Katlyn Chookagian  Alexis Davis,0  0,62  70,0  1,0  0,Women's Flyweight,U-DEC,3.0,5:00,"UFC Fight Night: Alvarez vs. Poirier 2  July 28, 2018"
win,Dustin Ortiz  Matheus Nicolau,1  0,8  7,0  0,0  0,Flyweight,KO/TKO  Kick,1.0,3:49,"UFC Fight Night: Alvarez vs. Poirier 2  July 28, 2018"
win,Nina Nunes  Randa Markos,0  0,49  23,0  1,0  0,Women's Strawweight,U-DEC,3.0,5:00,"UFC Fight Night: Alvarez vs. Poirier 2  July 28, 2018"
win,Devin Powell  Alvaro Herrera Mendoza,1  0,12  7,0  0,0  0,Lightweight,KO/TKO  Kicks,1.0,1:52,"UFC Fight Night: Alvarez vs. Poirier 2  July 28, 2018"
win,Anthony Smith  Mauricio Rua,1  0,23  4,0  0,0  0,Light Heavyweight,KO/TKO  Punches,1.0,1:29,"UFC Fight Night: Shogun vs. Smith  July 22, 2018"
win,Corey Anderson  Glover Teixeira,0  0,48  20,7  0,0  1,Light Heavyweight,U-DEC,3.0,5:00,"UFC Fight Night: Shogun vs. Smith  July 22, 2018"
win,Abu Azaitar  Vitor Miranda,0  0,48  19,1  3,0  1,Middleweight,U-DEC,3.0,5:00,"UFC Fight Night: Shogun vs. Smith  July 22, 2018"
win,Marcin Tybura  Stefan Struve,0  0,41  31,5  0,0  0,Heavyweight,U-DEC,3.0,5:00,"UFC Fight Night: Shogun vs. Smith  July 22, 2018"
win,Danny Roberts  David Zawada,0  0,45  33,0  2,1  5,Welterweight,S-DEC,3.0,5:00,"UFC Fight Night: Shogun vs. Smith  July 22, 2018"
win,Nasrat Haqparast  Marc Diakiese,1  0,93  50,0  0,0  0,Lightweight,U-DEC,3.0,5:00,"UFC Fight Night: Shogun vs. Smith  July 22, 2018"
win,Damir Hadzovic  Nick Hein,1  0,71  43,0  0,0  0,Lightweight,S-DEC,3.0,5:00,"UFC Fight Night: Shogun vs. Smith  July 22, 2018"
win,Bartosz Fabinski  Emil Meek,0  0,35  21,6  0,0  1,Welterweight,U-DEC,3.0,5:00,"UFC Fight Night: Shogun vs. Smith  July 22, 2018"
win,Nad Narimani  Khalid Taha,0  0,45  32,6  0,0  0,Featherweight,U-DEC,3.0,5:00,"UFC Fight Night: Shogun vs. Smith  July 22, 2018"
win,Aleksandar Rakic  Justin Ledet,1  0,104  12,3  0,0  0,Light Heavyweight,U-DEC,3.0,5:00,"UFC Fight Night: Shogun vs. Smith  July 22, 2018"
win,Manny Bermudez  Davey Grant,1  0,3  4,0  0,2  0,Bantamweight,SUB  Triangle Choke,1.0,0:59,"UFC Fight Night: Shogun vs. Smith  July 22, 2018"
win,Darko Stosic  Jeremy Kimball,0  0,9  4,0  0,0  0,Light Heavyweight,KO/TKO  Elbows,1.0,3:13,"UFC Fight Night: Shogun vs. Smith  July 22, 2018"
win,Pingyuan Liu  Damian Stasiak,0  0,32  24,1  3,2  0,Bantamweight,U-DEC,3.0,5:00,"UFC Fight Night: Shogun vs. Smith  July 22, 2018"
win,Junior Dos Santos  Blagoy Ivanov,0  0,110  51,0  0,0  0,Heavyweight,U-DEC,5.0,5:00,"UFC Fight Night: Dos Santos vs. Ivanov  July 14, 2018"
win,Sage Northcutt  Zak Ottow,1  1,24  6,1  1,1  1,Welterweight,KO/TKO  Punch,2.0,3:13,"UFC Fight Night: Dos Santos vs. Ivanov  July 14, 2018"
win,Ricky Glenn  Dennis Bermudez,0  0,48  42,0  6,1  0,Featherweight,S-DEC,3.0,5:00,"UFC Fight Night: Dos Santos vs. Ivanov  July 14, 2018"
win,Niko Price  Randy Brown,0  0,12  13,1  1,0  0,Welterweight,KO/TKO  Punch,2.0,1:09,"UFC Fight Night: Dos Santos vs. Ivanov  July 14, 2018"
win,Chad Mendes  Myles Jury,1  0,17  3,0  0,0  0,Featherweight,KO/TKO  Punch,1.0,2:52,"UFC Fight Night: Dos Santos vs. Ivanov  July 14, 2018"
win,Cat Zingano  Marion Reneau,0  0,33  14,6  0,0  0,Women's Bantamweight,U-DEC,3.0,5:00,"UFC Fight Night: Dos Santos vs. Ivanov  July 14, 2018"
win,Alejandro Perez  Eddie Wineland,0  0,53  48,0  0,0  0,Bantamweight,U-DEC,3.0,5:00,"UFC Fight Night: Dos Santos vs. Ivanov  July 14, 2018"
win,Alexander Volkanovski  Darren Elkins,2  0,100  82,2  1,3  0,Featherweight,U-DEC,3.0,5:00,"UFC Fight Night: Dos Santos vs. Ivanov  July 14, 2018"
win,Said Nurmagomedov  Justin Scoggins,0  0,65  32,1  0,0  0,Flyweight,S-DEC,3.0,5:00,"UFC Fight Night: Dos Santos vs. Ivanov  July 14, 2018"
win,Raoni Barcelos  Kurt Holobaugh,1  0,82  102,3  1,0  0,Featherweight,KO/TKO  Punch,3.0,1:29,"UFC Fight Night: Dos Santos vs. Ivanov  July 14, 2018"
win,Liz Carmouche  Jennifer Maia,0  0,53  42,3  0,0  0,Women's Flyweight,U-DEC,3.0,5:00,"UFC Fight Night: Dos Santos vs. Ivanov  July 14, 2018"
win,Mark De La Rosa  Elias Garcia,0  0,25  19,2  0,1  0,Flyweight,SUB  Rear Naked Choke,2.0,2:00,"UFC Fight Night: Dos Santos vs. Ivanov  July 14, 2018"
win,Jessica Aguilar  Jodie Esquibel,0  0,128  81,0  0,0  0,Women's Strawweight,U-DEC,3.0,5:00,"UFC Fight Night: Dos Santos vs. Ivanov  July 14, 2018"
win,Daniel Cormier  Stipe Miocic,1  0,25  24,0  1,0  0,Heavyweight,KO/TKO  Punches,1.0,4:33,"UFC 226: Miocic vs. Cormier  July 07, 2018"
win,Derrick Lewis  Francis Ngannou,0  0,20  11,0  0,0  0,Heavyweight,U-DEC,3.0,5:00,"UFC 226: Miocic vs. Cormier  July 07, 2018"
win,Mike Perry  Paul Felder,0  0,62  56,2  0,0  0,Welterweight,S-DEC,3.0,5:00,"UFC 226: Miocic vs. Cormier  July 07, 2018"
win,Anthony Pettis  Michael Chiesa,0  0,9  12,0  2,2  0,Lightweight,SUB  Triangle Choke,2.0,0:52,"UFC 226: Miocic vs. Cormier  July 07, 2018"
win,Khalil Rountree Jr.  Gokhan Saki,1  0,9  5,0  0,0  0,Light Heavyweight,KO/TKO  Punches,1.0,1:36,"UFC 226: Miocic vs. Cormier  July 07, 2018"
win,Paulo Costa  Uriah Hall,1  0,75  58,0  0,0  0,Middleweight,KO/TKO  Punches,2.0,2:38,"UFC 226: Miocic vs. Cormier  July 07, 2018"
win,Raphael Assuncao  Rob Font,0  0,54  20,2  0,0  0,Bantamweight,U-DEC,3.0,5:00,"UFC 226: Miocic vs. Cormier  July 07, 2018"
win,Drakkar Klose  Lando Vannata,0  0,55  50,1  1,0  0,Lightweight,U-DEC,3.0,5:00,"UFC 226: Miocic vs. Cormier  July 07, 2018"
win,Curtis Millender  Max Griffin,0  0,38  44,1  1,0  0,Welterweight,U-DEC,3.0,5:00,"UFC 226: Miocic vs. Cormier  July 07, 2018"
win,Dan Hooker  Gilbert Burns,2  0,22  13,0  0,1  0,Lightweight,KO/TKO  Punches,1.0,2:28,"UFC 226: Miocic vs. Cormier  July 07, 2018"
win,Emily Whitmire  Jamie Moyle,0  0,53  50,1  0,0  0,Women's Strawweight,U-DEC,3.0,5:00,"UFC 226: Miocic vs. Cormier  July 07, 2018"
win,Israel Adesanya  Brad Tavares,0  0,119  40,0  1,1  0,Middleweight,U-DEC,5.0,5:00,"The Ultimate Fighter: Undefeated Finale  July 06, 2018"
win,Michael Trizano  Joe Giannetti,0  0,42  29,0  1,1  0,Lightweight,S-DEC,3.0,5:00,"The Ultimate Fighter: Undefeated Finale  July 06, 2018"
win,Brad Katona  Jay Cucciniello,0  0,71  14,2  0,0  0,Featherweight,U-DEC,3.0,5:00,"The Ultimate Fighter: Undefeated Finale  July 06, 2018"
win,Alex Caceres  Martin Bravo,0  0,82  78,0  3,0  0,Featherweight,S-DEC,3.0,5:00,"The Ultimate Fighter: Undefeated Finale  July 06, 2018"
win,Roxanne Modafferi  Barb Honchak,0  0,51  24,1  0,0  0,Women's Flyweight,KO/TKO  Elbows,2.0,3:32,"The Ultimate Fighter: Undefeated Finale  July 06, 2018"
win,Alessio Di Chirico  Julian Marquez,0  0,50  47,4  0,0  2,Middleweight,S-DEC,3.0,5:00,"The Ultimate Fighter: Undefeated Finale  July 06, 2018"
win,Montana De La Rosa  Rachael Ostovich,0  0,56  40,0  0,1  1,Women's Flyweight,SUB  Rear Naked Choke,3.0,4:21,"The Ultimate Fighter: Undefeated Finale  July 06, 2018"
win,Luis Pena  Richie Smullen,1  0,8  7,1  2,1  0,Lightweight,SUB  Guillotine Choke,1.0,3:32,"The Ultimate Fighter: Undefeated Finale  July 06, 2018"
win,John Gunther  Allan Zuniga,0  0,27  59,8  0,0  1,Lightweight,M-DEC,3.0,5:00,"The Ultimate Fighter: Undefeated Finale  July 06, 2018"
win,Bryce Mitchell  Tyler Diamond,0  0,38  51,3  3,1  0,Featherweight,M-DEC,3.0,5:00,"The Ultimate Fighter: Undefeated Finale  July 06, 2018"
win,Steven Peterson  Matt Bessette,0  0,74  57,2  0,1  0,Featherweight,S-DEC,3.0,5:00,"The Ultimate Fighter: Undefeated Finale  July 06, 2018"
win,Gerald Meerschaert  Oskar Piechota,0  1,51  23,3  1,2  2,Middleweight,SUB  Rear Naked Choke,2.0,4:55,"The Ultimate Fighter: Undefeated Finale  July 06, 2018"
win,Leon Edwards  Donald Cerrone,0  0,84  60,0  1,0  0,Welterweight,U-DEC,5.0,5:00,"UFC Fight Night: Cowboy vs. Edwards  June 23, 2018"
win,Ovince Saint Preux  Tyson Pedro,0  1,7  9,0  0,1  1,Light Heavyweight,SUB  Armbar,1.0,2:54,"UFC Fight Night: Cowboy vs. Edwards  June 23, 2018"
win,Jessica Eye  Jessica-Rose Clark,0  0,67  51,1  0,0  0,Women's Flyweight,U-DEC,3.0,5:00,"UFC Fight Night: Cowboy vs. Edwards  June 23, 2018"
win,Li Jingliang  Daichi Abe,0  0,96  45,0  0,0  0,Welterweight,U-DEC,3.0,5:00,"UFC Fight Night: Cowboy vs. Edwards  June 23, 2018"
win,Petr Yan  Teruto Ishihara,2  0,25  11,0  0,0  0,Bantamweight,KO/TKO  Punch,1.0,3:28,"UFC Fight Night: Cowboy vs. Edwards  June 23, 2018"
win,Song Yadong  Felipe Arantes,1  0,39  8,1  0,1  0,Bantamweight,KO/TKO  Elbow,2.0,4:59,"UFC Fight Night: Cowboy vs. Edwards  June 23, 2018"
win,Shane Young  Rolando Dy,0  0,104  57,1  0,0  0,Featherweight,KO/TKO  Elbow,2.0,4:40,"UFC Fight Night: Cowboy vs. Edwards  June 23, 2018"
win,Song Kenan  Hector Aldana,1  0,32  39,0  2,0  0,Welterweight,KO/TKO  Punch,2.0,4:45,"UFC Fight Night: Cowboy vs. Edwards  June 23, 2018"
win,Jake Matthews  Shinsho Anzai,0  0,12  1,1  0,1  0,Welterweight,SUB  Rear Naked Choke,1.0,2:44,"UFC Fight Night: Cowboy vs. Edwards  June 23, 2018"
win,Yan Xiaonan  Viviane Pereira,0  0,71  44,0  0,0  0,Women's Strawweight,U-DEC,3.0,5:00,"UFC Fight Night: Cowboy vs. Edwards  June 23, 2018"
win,Matt Schnell  Naoki Inoue,0  0,71  48,0  0,0  0,Flyweight,S-DEC,3.0,5:00,"UFC Fight Night: Cowboy vs. Edwards  June 23, 2018"
win,Yuta Sasaki  Jenel Lausa,0  0,25  7,5  0,1  0,Flyweight,SUB  Rear Naked Choke,2.0,4:04,"UFC Fight Night: Cowboy vs. Edwards  June 23, 2018"
win,Ji Yeon Kim  Melinda Fabian,0  0,73  72,0  0,0  0,Women's Flyweight,S-DEC,3.0,5:00,"UFC Fight Night: Cowboy vs. Edwards  June 23, 2018"
win,Robert Whittaker  Yoel Romero,0  2,128  111,0  3,0  0,Middleweight,S-DEC,5.0,5:00,"UFC 225: Whittaker vs. Romero 2  June 09, 2018"
win,Colby Covington  Rafael Dos Anjos,0  0,99  105,7  3,0  0,Welterweight,U-DEC,5.0,5:00,"UFC 225: Whittaker vs. Romero 2  June 09, 2018"
win,Holly Holm  Megan Anderson,0  0,47  26,4  0,1  0,Women's Featherweight,U-DEC,3.0,5:00,"UFC 225: Whittaker vs. Romero 2  June 09, 2018"
win,Tai Tuivasa  Andrei Arlovski,1  0,54  51,0  0,0  0,Heavyweight,U-DEC,3.0,5:00,"UFC 225: Whittaker vs. Romero 2  June 09, 2018"
nc  nc,CM Punk  Mike Jackson,0  0,19  64,1  1,0  0,Welterweight,Overturned,3.0,5:00,"UFC 225: Whittaker vs. Romero 2  June 09, 2018"
win,Curtis Blaydes  Alistair Overeem,0  0,37  7,4  0,0  2,Heavyweight,KO/TKO  Elbows,3.0,2:56,"UFC 225: Whittaker vs. Romero 2  June 09, 2018"
win,Claudia Gadelha  Carla Esparza,0  0,26  43,4  2,1  0,Women's Strawweight,S-DEC,3.0,5:00,"UFC 225: Whittaker vs. Romero 2  June 09, 2018"
win,Mirsad Bektic  Ricardo Lamas,0  0,31  34,2  0,0  2,Featherweight,S-DEC,3.0,5:00,"UFC 225: Whittaker vs. Romero 2  June 09, 2018"
win,Chris de la Rocha  Rashad Coulter,0  0,40  30,3  0,2  0,Heavyweight,KO/TKO  Punches,2.0,3:53,"UFC 225: Whittaker vs. Romero 2  June 09, 2018"
win,Anthony Smith  Rashad Evans,1  0,6  1,0  0,0  0,Light Heavyweight,KO/TKO  Knee,1.0,0:53,"UFC 225: Whittaker vs. Romero 2  June 09, 2018"
win,Sergio Pettis  Joseph Benavidez,0  0,74  59,0  2,0  0,Flyweight,S-DEC,3.0,5:00,"UFC 225: Whittaker vs. Romero 2  June 09, 2018"
win,Charles Oliveira  Clay Guida,0  0,14  9,0  0,1  0,Lightweight,SUB  Guillotine Choke,1.0,2:18,"UFC 225: Whittaker vs. Romero 2  June 09, 2018"
